STATE_CODE,COUNTY_NAME,COUNTY_CODE,PLACE_NAME,PLACE_TYPE,PLACE_CODE
AL,DeKalb,049,Minvale,,27616
AL,Elmore,051,Millbrook,City of,48712
AL,Elmore,051,Prattville,City of,62328
AL,Elmore,051,Robinson Springs,,48712
AL,Escambia,053,Atmore,City of,03004
AL,Etowah,055,Alabama City,,28696
AL,Etowah,055,Bellevue,,28696
AL,Etowah,055,Clubview Heights,,28696
AL,Etowah,055,East Gadsden,,28696
AL,Etowah,055,Gadsden,City of,28696
AL,Etowah,055,Goodyear,,28696
AL,Etowah,055,Monte Vista,,28696
AL,Etowah,055,Scenic Heights,,28696
AL,Etowah,055,South Gadsden,,28696
AL,Etowah,055,The Highlands,,28696
AL,Etowah,055,Tuckahoe Heights,,28696
AL,Etowah,055,Walnut Park,,28696
AL,Henry,067,Dothan,City of,21184
AL,Houston,069,Ardilla,,21184
AL,Houston,069,Dothan,City of,21184
AL,Jackson,071,Scottsboro,City of,68736
AL,Jackson,071,Webb Addition,,68736
AL,Jefferson,073,Acipcoville,,07000
AL,Jefferson,073,Avalon Park,,36448
AL,Jefferson,073,Avon Park,,07000
AL,Jefferson,073,Avondale,,07000
AL,Jefferson,073,Barnisdale Forest,,07000
AL,Jefferson,073,Bel Air,,07000
AL,Jefferson,073,Belle Haven,,07000
AL,Jefferson,073,Bendale,,07000
AL,Jefferson,073,Bentley Hills,,51696
AL,Jefferson,073,Berkley Hills,,07000
AL,Jefferson,073,Berney Points,,07000
AL,Jefferson,073,Bessemer,City of,05980
AL,Jefferson,073,Bessemer Gardens,,36448
AL,Jefferson,073,Bessemer Homestead,,05980
AL,Jefferson,073,Beverly Station,,07000
AL,Jefferson,073,Birmingham,City of,07000
AL,Jefferson,073,Blue Creek Junction,,05980
AL,Jefferson,073,Brookhurst,,07000
AL,Jefferson,073,Brownville,,07000
AL,Jefferson,073,Buena Vista Highlands,,35800
AL,Jefferson,073,Cahaba Crest,,76944
AL,Jefferson,073,Cahaba Heights,,78552
AL,Jefferson,073,Cahaba Hills,,41968
AL,Jefferson,073,Center Point,City of,13264
AL,Jefferson,073,Central Highlands,,07000
AL,Jefferson,073,Central Park Highlands,,07000
AL,Jefferson,073,Cherokee Forest,,51696
AL,Jefferson,073,Cloverdale,,07000
AL,Jefferson,073,Cottage Hill,,61008
AL,Jefferson,073,Crestline Gardens,,07000
AL,Jefferson,073,Crestline Heights,,51696
AL,Jefferson,073,Crestline Park,,07000
AL,Jefferson,073,Douglasville,,07000
AL,Jefferson,073,East Birmingham,,07000
AL,Jefferson,073,East Lake,,07000
AL,Jefferson,073,East Thomas,,07000
AL,Jefferson,073,East Thomas Gardens,,07000
AL,Jefferson,073,Eastwood,,07000
AL,Jefferson,073,Edgemont,,35800
AL,Jefferson,073,Edgemont Park,,35800
AL,Jefferson,073,Edgemoor Estates,,35800
AL,Jefferson,073,Edgewood,,35800
AL,Jefferson,073,Elyton,,07000
AL,Jefferson,073,English Village,,07000
AL,Jefferson,073,Ensley,,07000
AL,Jefferson,073,Euclid Estates,,51696
AL,Jefferson,073,Exum,,07000
AL,Jefferson,073,Fairfield,City of,25120
AL,Jefferson,073,Fairfield Village,,25120
AL,Jefferson,073,Five Points East,,37864
AL,Jefferson,073,Five Points South,,07000
AL,Jefferson,073,Forest Hills,,25120
AL,Jefferson,073,Forest Park,,07000
AL,Jefferson,073,Fountain Heights,,07000
AL,Jefferson,073,Franklin Gardens,,07000
AL,Jefferson,073,Gardendale,City of,29056
AL,Jefferson,073,Gate City,,07000
AL,Jefferson,073,Germania,,07000
AL,Jefferson,073,Glen Hills,,05980
AL,Jefferson,073,Glen Oaks,,25120
AL,Jefferson,073,Glencoe,,51696
AL,Jefferson,073,Glenview,,07000
AL,Jefferson,073,Graymont,,07000
AL,Jefferson,073,Green Acres,,07000
AL,Jefferson,073,Greenwood,,05980
AL,Jefferson,073,Grove Park,,35800
AL,Jefferson,073,Harriman Park,,07000
AL,Jefferson,073,Helena,City of,34024
AL,Jefferson,073,Hilltop,,05980
AL,Jefferson,073,Hobson,,07000
AL,Jefferson,073,Hollywood,,35800
AL,Jefferson,073,Homewood,City of,35800
AL,Jefferson,073,Hooper City,,07000
AL,Jefferson,073,Hoover,City of,35896
AL,Jefferson,073,Hopewell,,05980
AL,Jefferson,073,Hueytown,City of,36448
AL,Jefferson,073,Hueytown Crest,,36448
AL,Jefferson,073,Huffman,,07000
AL,Jefferson,073,Huffman Gardens,,07000
AL,Jefferson,073,Hyde Park,,07000
AL,Jefferson,073,Ingle Terrace,,07000
AL,Jefferson,073,Inglenook,,07000
AL,Jefferson,073,Irondale,City of,37864
AL,Jefferson,073,Ishkooda,,07000
AL,Jefferson,073,Ivanhoe,,07000
AL,Jefferson,073,Jefferson Hills,,07000
AL,Jefferson,073,Jones Valley,,07000
AL,Jefferson,073,Jonesboro,,05980
AL,Jefferson,073,Killough Springs,,07000
AL,Jefferson,073,Kingston,,07000
AL,Jefferson,073,Kingsway Terrace,,07000
AL,Jefferson,073,Lake Drive Estates,,35800
AL,Jefferson,073,Lake Highlands,,07000
AL,Jefferson,073,Lake Shore Estates,,35800
AL,Jefferson,073,Lakeview Estates,,35800
AL,Jefferson,073,Lakeview Park,,35800
AL,Jefferson,073,Lakewood,,07000
AL,Jefferson,073,Leeds,City of,41968
AL,Jefferson,073,Lynn Acres,,07000
AL,Jefferson,073,Magnolia Courts,,07000
AL,Jefferson,073,Maplewood,,41968
AL,Jefferson,073,Marks Village,,07000
AL,Jefferson,073,Martins,,07000
AL,Jefferson,073,Mason City,,07000
AL,Jefferson,073,Mayfair,,35800
AL,Jefferson,073,Meadwood Heights,,07000
AL,Jefferson,073,Monte-Sano,,07000
AL,Jefferson,073,Morgan,,05980
AL,Jefferson,073,Mountain Brook,City of,51696
AL,Jefferson,073,Mountain Brook Village,,51696
AL,Jefferson,073,Mountain Park,,07000
AL,Jefferson,073,Mountaindale,,07000
AL,Jefferson,073,Nelson Heights,,07000
AL,Jefferson,073,Norris Junction,,07000
AL,Jefferson,073,North Birmingham,,07000
AL,Jefferson,073,North Highlands,,36448
AL,Jefferson,073,Norwood,,07000
AL,Jefferson,073,Oak Crossing,,41968
AL,Jefferson,073,Oak Grove Estates,,35800
AL,Jefferson,073,Oak Hills,,07000
AL,Jefferson,073,Oak Ridge Park,,07000
AL,Jefferson,073,Oakhurst,,07000
AL,Jefferson,073,Oakville,,07000
AL,Jefferson,073,Oakwood,,05980
AL,Jefferson,073,Owenton,,07000
AL,Jefferson,073,Park Courts,,07000
AL,Jefferson,073,Park Place,,07000
AL,Jefferson,073,Parker Heights,,07000
AL,Jefferson,073,Phoenixville,,07000
AL,Jefferson,073,Pineview,,37864
AL,Jefferson,073,Pleasant Grove,City of,61008
AL,Jefferson,073,Pleasant Grove Estates,,61008
AL,Jefferson,073,Powderly,,07000
AL,Jefferson,073,Powderly Hills,,07000
AL,Jefferson,073,Pratt City,,07000
AL,Jefferson,073,Redmont Park,,07000
AL,Jefferson,073,Roebuck,,07000
AL,Jefferson,073,Roebuck Crest Estates,,07000
AL,Jefferson,073,Roebuck Forest,,07000
AL,Jefferson,073,Roebuck Gardens,,07000
AL,Jefferson,073,Roebuck Park,,07000
AL,Jefferson,073,Roebuck Springs,,07000
AL,Jefferson,073,Roebuck Terrace,,07000
AL,Jefferson,073,Roosevelt,,07000
AL,Jefferson,073,Rosedale,,35800
AL,Jefferson,073,Rosemont,,07000
AL,Jefferson,073,Ruffner,,37864
AL,Jefferson,073,Russell Heights,,41968
AL,Jefferson,073,Skyview,,05980
AL,Jefferson,073,Smithfield,,07000
AL,Jefferson,073,South Highlands,,07000
AL,Jefferson,073,Southwood,,35800
AL,Jefferson,073,Spring Lake Estates,,07000
AL,Jefferson,073,Springdale,,07000
AL,Jefferson,073,Thomas,,07000
AL,Jefferson,073,Thomas Acres,,05980
AL,Jefferson,073,Trotwood Park,,07000
AL,Jefferson,073,Trussville,City of,76944
AL,Jefferson,073,Vanderbilt,,07000
AL,Jefferson,073,Vestavia Hills,City of,78552
AL,Jefferson,073,Village Creek,,07000
AL,Jefferson,073,Vineland Park,,36448
AL,Jefferson,073,Vulcan City,,07000
AL,Jefferson,073,Wahouma,,07000
AL,Jefferson,073,Walnut Grove,,25120
AL,Jefferson,073,West End,,07000
AL,Jefferson,073,West Lake Highlands,,05980
AL,Jefferson,073,Windsor Highlands,,35800
AL,Jefferson,073,Woodcrest,,07000
AL,Jefferson,073,Woodlawn,,07000
AL,Jefferson,073,Woodlawn Heights,,07000
AL,Jefferson,073,Woodmont,,36448
AL,Jefferson,073,Wylam,,07000
AL,Jefferson,073,Zion City,,07000
AL,Jefferson,073,Zion Heights,,07000
AL,Lauderdale,077,Alexander Heights,,26896
AL,Lauderdale,077,Cypress Heights,,26896
AL,Lauderdale,077,East Florence,,26896
AL,Lauderdale,077,Florence,City of,26896
AL,Lauderdale,077,Forest Hills,,26896
AL,Lauderdale,077,Greenbrier,,26896
AL,Lauderdale,077,Hickory Hills,,26896
AL,Lauderdale,077,Lakeside Highlands,,26896
AL,Lauderdale,077,North Florence,,26896
AL,Lauderdale,077,Northwood Hills,,26896
AL,Lauderdale,077,Rose Park,,26896
AL,Lauderdale,077,Sherwood Forest,,26896
AL,Lauderdale,077,The Cedars,,26896
AL,Lauderdale,077,Weeden Heights,,26896
AL,Lee,081,Auburn,City of,03076
AL,Lee,081,Opelika,City of,57048
AL,Lee,081,Pepperell,,57048
AL,Lee,081,Phenix City,City of,59472
AL,Lee,081,Roanoke Junction,,57048
AL,Limestone,083,Athens,City of,02956
AL,Limestone,083,Brookwood Forest,,02956
AL,Limestone,083,Decatur,City of,20104
AL,Limestone,083,East Hampton,,02956
AL,Limestone,083,Hannah,,02956
AL,Limestone,083,Huntsville,City of,37000
AL,Limestone,083,Lakewood,,02956
AL,Limestone,083,Madison,City of,45784
AL,Limestone,083,Pinedale Acres,,02956
AL,Madison,089,Brandontown,,37000
AL,Madison,089,Brookhurst,,37000
AL,Madison,089,Cavalry Hill,,37000
AL,Madison,089,Chapman Heights,,37000
AL,Madison,089,Chelsea,,37000
AL,Madison,089,Dallas,,37000
AL,Madison,089,Darwin Downs,,37000
AL,Madison,089,Davis Hills,,37000
AL,Madison,089,Echols Hill,,37000
AL,Madison,089,Edmonton Heights,,37000
AL,Madison,089,Fleming Meadows,,37000
AL,Madison,089,Flemington Heights,,37000
AL,Madison,089,Greenwycke Village,,37000
AL,Madison,089,Haysland Estates,,37000
AL,Madison,089,Hillandale,,37000
AL,Madison,089,Huntsville,City of,37000
AL,Madison,089,Huntsville Park,,37000
AL,Madison,089,Jones Valley Estates,,37000
AL,Madison,089,Lakewood,,37000
AL,Madison,089,Lily Flagg,,37000
AL,Madison,089,Lincoln,,37000
AL,Madison,089,Longwood,,37000
AL,Madison,089,Madison,City of,45784
AL,Madison,089,Mayfair,,37000
AL,Madison,089,Meadow Hills,,37000
AL,Madison,089,Mountain Brook,,37000
AL,Madison,089,Parkway Estates,,37000
AL,Madison,089,Piedmont,,37000
AL,Madison,089,Rideout Village,,37000
AL,Madison,089,Shady Lane,,37000
AL,Madison,089,Sherwood Park,,37000
AL,Madison,089,Sunset Cove,,37000
AL,Madison,089,Terry Heights,,37000
AL,Madison,089,The Highlands,,37000
AL,Madison,089,Weatherly Heights,,37000
AL,Madison,089,West Huntsville,,37000
AL,Madison,089,Westlawn,,37000
AL,Madison,089,Whitesburg Estates,,37000
AL,Marshall,095,Albertville,City of,00988
AL,Marshall,095,Saratoga,,00988
AL,Mobile,097,Allenville,,50000
AL,Mobile,097,Cottage Hill,,50000
AL,Mobile,097,Country Club Estates,,50000
AL,Mobile,097,Country Club Village,,50000
AL,Mobile,097,Crichton,,50000
AL,Mobile,097,Eight Mile,,62496
AL,Mobile,097,Forest Hill,,50000
AL,Mobile,097,Forest Park,,50000
AL,Mobile,097,Jackson Heights,,50000
AL,Mobile,097,Kushla,,62496
AL,Mobile,097,Magazine,,50000
AL,Mobile,097,Mertz,,50000
AL,Mobile,097,Mobile,City of,50000
AL,Mobile,097,Navco,,50000
AL,Mobile,097,Neshota,,50000
AL,Mobile,097,Orchard,,50000
AL,Mobile,097,Pine Grove,,50000
AL,Mobile,097,Plateau,,50000
AL,Mobile,097,Prichard,City of,62496
AL,Mobile,097,Saraland,City of,68160
AL,Mobile,097,Spring Hill,,50000
AL,Mobile,097,Tacon,,50000
AL,Mobile,097,Toulminville,,50000
AL,Mobile,097,Wheelerville,,50000
AL,Mobile,097,Whistler,,62496
AL,Montgomery,101,Boylston,,51000
AL,Montgomery,101,Capitol Heights,,51000
AL,Montgomery,101,Chisholm,,51000
AL,Montgomery,101,Montgomery,City of,51000
AL,Montgomery,101,Southmont,,51000
AL,Montgomery,101,Steiner,,51000
AL,Morgan,103,Austinville,,20104
AL,Morgan,103,Cedar Lake,,20104
AL,Morgan,103,Decatur,City of,20104
AL,Morgan,103,Fairview,,20104
AL,Morgan,103,Flint City,,20104
AL,Morgan,103,Georgia,,33448
AL,Morgan,103,Hartselle,City of,33448
AL,Morgan,103,Moulton Heights,,20104
AL,Morgan,103,Oakworth,,20104
AL,Morgan,103,Tanner Heights,,33448
AL,Morgan,103,West Decatur,,20104
AL,Pike,109,Troy,City of,76920
AL,Russell,113,Girard,,59472
AL,Russell,113,Kaolin,,59472
AL,Russell,113,Phenix City,City of,59472
AL,Shelby,117,Alabaster,City of,00820
AL,Shelby,117,Birmingham,City of,07000
AL,Shelby,117,Calera,City of,11416
AL,Shelby,117,Chelsea,City of,14104
AL,Shelby,117,Helena,City of,34024
AL,Shelby,117,Hoover,City of,35896
AL,Shelby,117,Keystone,,58848
AL,Shelby,117,Leeds,City of,41968
AL,Shelby,117,Pelham,City of,58848
AL,Shelby,117,Siluria,,00820
AL,Shelby,117,Vestavia Hills,City of,78552
AL,St. Clair,115,Avondale Village,,58896
AL,St. Clair,115,Crestview Gardens,,58896
AL,St. Clair,115,Eden,,58896
AL,St. Clair,115,Glen City,,58896
AL,St. Clair,115,Harrisburg,,58896
AL,St. Clair,115,Leeds,City of,41968
AL,St. Clair,115,Moody,City of,51096
AL,St. Clair,115,Oak Ridge,,58896
AL,St. Clair,115,Park Hill,,58896
AL,St. Clair,115,Pell City,City of,58896
AL,St. Clair,115,Trussville,City of,76944
AL,St. Clair,115,Walkerton,,58896
AL,Talladega,121,Bemiston,,74592
AL,Talladega,121,Oxford,City of,57576
AL,Talladega,121,Sylacauga,City of,74352
AL,Talladega,121,Talladega,City of,74592
AL,Tallapoosa,123,Alexander City,City of,01132
AL,Tallapoosa,123,Bevelle,,01132
AL,Tuscaloosa,125,Cloverdale,,55200
AL,Tuscaloosa,125,Northport,City of,55200
AL,Tuscaloosa,125,Tuscaloosa,City of,77256
AL,Walker,127,Jasper,City of,38416
AR,Baxter,005,Mountain Home,City of,47390
AR,Benton,007,Bella Vista,Town of,04840
AR,Benton,007,Bentonville,City of,05320
AR,Benton,007,Rogers,City of,60410
AR,Benton,007,Siloam Springs,City of,64370
AR,Benton,007,Springdale,City of,66080
AR,Boone,009,Harrison,City of,30460
AR,Clark,019,Arkadelphia,City of,01870
AR,Columbia,027,Magnolia,City of,43460
AR,Craighead,031,Jonesboro,City of,35710
AR,Craighead,031,Nettleton,,35710
AR,Crawford,033,Van Buren,City of,71480
AR,Crittenden,035,Hulbert,,74540
AR,Crittenden,035,Marion,City of,44180
AR,Crittenden,035,West Memphis,City of,74540
AR,Faulkner,045,Conway,City of,15190
AR,Garland,051,Euclid Heights,,33400
AR,Garland,051,Hot Springs,City of,33400
AR,Greene,055,Center Hill,,53390
AR,Greene,055,Paragould,City of,53390
AR,Hempstead,057,Hope,City of,33190
AR,Hot Spring,059,Malvern,City of,43610
AR,Independence,063,Batesville,City of,04030
AR,Jefferson,069,Leitner,,55310
AR,Jefferson,069,Pine Bluff,City of,55310
AR,Lonoke,085,Cabot,City of,10300
AR,Miller,091,Texarkana,City of,68810
AR,Mississippi,093,Blytheville,City of,07330
AR,Ouachita,103,Camden,City of,10720
AR,Ouachita,103,Cullendale,,10720
AR,Ouachita,103,Fairview,,10720
AR,Phillips,107,Helena,,31190
AR,Phillips,107,Helena Crossing,,31190
AR,Phillips,107,Helena-West Helena,City of,31190
AR,Phillips,107,West Helena,,31190
AR,Pope,115,Norristown,,61670
AR,Pope,115,Russellville,City of,61670
AR,Pulaski,119,Amboy,,50450
AR,Pulaski,119,Cloverdale,,41000
AR,Pulaski,119,Dixie,,50450
AR,Pulaski,119,Geyer Springs,,41000
AR,Pulaski,119,Gravel Ridge,,63800
AR,Pulaski,119,Hot Springs Junction,,41000
AR,Pulaski,119,Jacksonville,City of,34750
AR,Pulaski,119,Lakewood,,50450
AR,Pulaski,119,Levy,,50450
AR,Pulaski,119,Little Rock,City of,41000
AR,Pulaski,119,Maumelle,City of,44600
AR,Pulaski,119,Meadowcliff,,41000
AR,Pulaski,119,North Little Rock,City of,50450
AR,Pulaski,119,Park Hill,,50450
AR,Pulaski,119,Pulaski,,41000
AR,Pulaski,119,Pulaski Heights,,41000
AR,Pulaski,119,Rose City,,50450
AR,Pulaski,119,Sherwood,City of,63800
AR,Pulaski,119,Toneyville,,34750
AR,Pulaski,119,Wakefield Village,,41000
AR,Pulaski,119,Westwood,,41000
AR,Saline,125,Benton,City of,05290
AR,Saline,125,Bryant,City of,09460
AR,Sebastian,131,Cavanaugh,,24550
AR,Sebastian,131,Fort Smith,City of,24550
AR,Sebastian,131,Mill Creek,,24550
AR,Sebastian,131,South Fort Smith,,24550
AR,St. Francis,123,Forrest City,City of,24430
AR,Union,139,El Dorado,City of,21070
AR,Washington,143,Baldwin,,23290
AR,Washington,143,Fayetteville,City of,23290
AR,Washington,143,Springdale,City of,66080
AR,White,145,Searcy,City of,63020
AZ,Cochise,003,Douglas,City of,20050
AZ,Cochise,003,Sierra Vista,City of,66820
AZ,Cochise,003,Village Meadows,,66820
AZ,Coconino,005,East Flagstaff,,23620
AZ,Coconino,005,Flagstaff,City of,23620
AZ,Coconino,005,Sedona,City of,65350
AZ,Gila,007,Payson,Town of,53700
AZ,Maricopa,013,Agua Fria,,22220
AZ,Maricopa,013,Alhambra,,55000
AZ,Maricopa,013,Apache Junction,City of,02830
AZ,Maricopa,013,Avondale,City of,04720
AZ,Maricopa,013,Buckeye,Town of,07940
AZ,Maricopa,013,Cactus,,55000
AZ,Maricopa,013,Cashion,,04720
AZ,Maricopa,013,Chandler,City of,12000
AZ,Maricopa,013,El Mirage,City of,22220
AZ,Maricopa,013,Fountain Hills,Town of,25300
AZ,Maricopa,013,Fowler,,55000
AZ,Maricopa,013,Gilbert,Town of,27400
AZ,Maricopa,013,Glendale,City of,27820
AZ,Maricopa,013,Goodyear,City of,28380
AZ,Maricopa,013,Harmony Villa,,46000
AZ,Maricopa,013,Hightown,,12000
AZ,Maricopa,013,Kyrene,,73000
AZ,Maricopa,013,Lehi,,46000
AZ,Maricopa,013,Maryvale,,55000
AZ,Maricopa,013,Mesa,City of,46000
AZ,Maricopa,013,Normal Junction,,73000
AZ,Maricopa,013,Paradise Valley,Town of,52930
AZ,Maricopa,013,Peoria,City of,54050
AZ,Maricopa,013,Phoenix,City of,55000
AZ,Maricopa,013,Queen Creek,Town of,58150
AZ,Maricopa,013,Scottsdale,City of,65000
AZ,Maricopa,013,Sunnyslope,,55000
AZ,Maricopa,013,Surprise,City of,71510
AZ,Maricopa,013,Tempe,City of,73000
AZ,Maricopa,013,Tempe Junction,,73000
AZ,Maricopa,013,Tovrea,,55000
AZ,Maricopa,013,West Chandler,,12000
AZ,Mohave,015,Bullhead City,City of,08220
AZ,Mohave,015,Kingman,City of,37620
AZ,Mohave,015,Lake Havasu City,City of,39370
AZ,Navajo,017,Show Low,City of,66470
AZ,Pima,019,Amphitheater,,77000
AZ,Pima,019,Craycroft,,77000
AZ,Pima,019,El Rio,,77000
AZ,Pima,019,Emery Park,,77000
AZ,Pima,019,Kingston Knolls Terrace,,77000
AZ,Pima,019,Kino,,44270
AZ,Pima,019,Marana,Town of,44270
AZ,Pima,019,Oro Valley,Town of,51600
AZ,Pima,019,Pueblo Gardens,,77000
AZ,Pima,019,Rolling Hills Country Club Estates,,77000
AZ,Pima,019,Sahuarita,Town of,62140
AZ,Pima,019,Tucson,City of,77000
AZ,Pinal,021,Apache Junction,City of,02830
AZ,Pinal,021,Casa Grande,City of,10530
AZ,Pinal,021,Coolidge,City of,15500
AZ,Pinal,021,Eloy,City of,22360
AZ,Pinal,021,Florence,Town of,23760
AZ,Pinal,021,Marana,Town of,44270
AZ,Pinal,021,Maricopa,City of,44410
AZ,Pinal,021,Queen Creek,Town of,58150
AZ,Santa Cruz,023,Nogales,City of,49640
AZ,Yavapai,025,Camp Verde,Town of,09690
AZ,Yavapai,025,Chino Valley,Town of,12840
AZ,Yavapai,025,Clemenceau,,16410
AZ,Yavapai,025,Cottonwood,City of,16410
AZ,Yavapai,025,Dewey,,57450
AZ,Yavapai,025,Miller Valley,,57380
AZ,Yavapai,025,Peoria,City of,54050
AZ,Yavapai,025,Prescott,City of,57380
AZ,Yavapai,025,Prescott Valley,Town of,57450
AZ,Yavapai,025,Sedona,City of,65350
AZ,Yavapai,025,Whipple,,57380
AZ,Yuma,027,San Luis,City of,63470
AZ,Yuma,027,Somerton,City of,68080
AZ,Yuma,027,Yuma,City of,85540
CA,Alameda,001,Alameda,City of,00562
CA,Alameda,001,Albany,City of,00674
CA,Alameda,001,Albrae,,26000
CA,Alameda,001,Baumberg,,33000
CA,Alameda,001,Berkeley,City of,06000
CA,Alameda,001,Carpenter,,33000
CA,Alameda,001,Curtner,,26000
CA,Alameda,001,Drawbridge (historical),,26000
CA,Alameda,001,Dresser,,26000
CA,Alameda,001,Dublin,City of,20018
CA,Alameda,001,Eberly,,26000
CA,Alameda,001,Emeryville,City of,22594
CA,Alameda,001,Fremont,City of,26000
CA,Alameda,001,Hayward,City of,33000
CA,Alameda,001,Jarvis Landing,,50916
CA,Alameda,001,Livermore,City of,41992
CA,Alameda,001,Mount Eden,,33000
CA,Alameda,001,Mulford,,68084
CA,Alameda,001,Mulford Gardens,,68084
CA,Alameda,001,Newark,City of,50916
CA,Alameda,001,Niles Junction,,26000
CA,Alameda,001,Oakland,City of,53000
CA,Alameda,001,Pabrico,,26000
CA,Alameda,001,Piedmont,City of,56938
CA,Alameda,001,Pleasanton,City of,57792
CA,Alameda,001,San Leandro,City of,68084
CA,Alameda,001,Shinn,,26000
CA,Alameda,001,Snoboy,,26000
CA,Alameda,001,Trevarno,,41992
CA,Alameda,001,Ulmar,,41992
CA,Alameda,001,Union City,City of,81204
CA,Butte,007,Chico,City of,13014
CA,Butte,007,Oroville,City of,54386
CA,Butte,007,Paradise,Town of,55520
CA,Contra Costa,013,Antioch,City of,02252
CA,Contra Costa,013,Brentwood,City of,08142
CA,Contra Costa,013,Clayton,City of,13882
CA,Contra Costa,013,Concord,City of,16000
CA,Contra Costa,013,Cowell,,16000
CA,Contra Costa,013,Danville,Town of,17988
CA,Contra Costa,013,El Cerrito,City of,21796
CA,Contra Costa,013,Giant,,60620
CA,Contra Costa,013,Glorietta,,54232
CA,Contra Costa,013,Hercules,City of,33308
CA,Contra Costa,013,Lafayette,City of,39122
CA,Contra Costa,013,Martinez,City of,46114
CA,Contra Costa,013,Mococo,,46114
CA,Contra Costa,013,Moraga,Town of,49187
CA,Contra Costa,013,Nitro,,60620
CA,Contra Costa,013,Oakley,City of,53070
CA,Contra Costa,013,Orinda,City of,54232
CA,Contra Costa,013,Pinole,City of,57288
CA,Contra Costa,013,Pittsburg,City of,57456
CA,Contra Costa,013,Pleasant Hill,City of,57764
CA,Contra Costa,013,Point Richmond,,60620
CA,Contra Costa,013,Rheem,,60620
CA,Contra Costa,013,Richmond,City of,60620
CA,Contra Costa,013,San Pablo,City of,68294
CA,Contra Costa,013,San Ramon,City of,68378
CA,Contra Costa,013,Stege,,60620
CA,Contra Costa,013,Walnut Creek,City of,83346
CA,El Dorado,017,Al Tahoe,,73108
CA,El Dorado,017,Bijou,,73108
CA,El Dorado,017,Bijou Park,,73108
CA,El Dorado,017,Placerville,City of,57540
CA,El Dorado,017,South Lake Tahoe,City of,73108
CA,El Dorado,017,Stateline,,73108
CA,El Dorado,017,Tahoe Valley,,73108
CA,Fresno,019,Clovis,City of,14218
CA,Fresno,019,Coalinga,City of,14274
CA,Fresno,019,Fresno,City of,27000
CA,Fresno,019,Hammond,,27000
CA,Fresno,019,Kerman,City of,38226
CA,Fresno,019,Kingsburg,City of,38562
CA,Fresno,019,Las Palmas,,27000
CA,Fresno,019,Melvin,,14218
CA,Fresno,019,Mendota,City of,46828
CA,Fresno,019,Parlier,City of,55856
CA,Fresno,019,Reedley,City of,60242
CA,Fresno,019,Sanger,City of,67056
CA,Fresno,019,Selma,City of,70882
CA,Humboldt,023,Alliance,,02476
CA,Humboldt,023,Arcata,City of,02476
CA,Humboldt,023,Eureka,City of,23042
CA,Humboldt,023,Fortuna,City of,25296
CA,Imperial,025,Brawley,City of,08058
CA,Imperial,025,Calexico,City of,09710
CA,Imperial,025,El Centro,City of,21782
CA,Imperial,025,Imperial,City of,36280
